令和８年熊本地震による人的被害等の状況（８月５日１４：００時点）                            ※着色箇所は前回（第14回災害対策本部会議資料）から変更があった箇所を示す
                   ①避難状況                                           ②人的被害                                                                 ③住家被害                                           ④断水           ⑤給水所
              避難所         避難者          軽症        中等症          重症        心肺停止       死亡        分類未確定          全壊         大規模半壊        半壊           一部破損         分類未確定         計             （戸）          （箇所数）
   熊本市               46          496        12         50           3          0         0            0            0            0            0          706         2,730        3,436            0             1
   宇土市                8          226         0          0           0          0         0           11            1            0            0          390         1,128        1,519            0             6
   宇城市               11        3,213         0          0           0          0         3            0          200            0          800        3,600             0        4,600        15,580           10
   美里町                4           25         7          0           6          0         0            0           15           20           30          500            26          591             0            0
   荒尾市                0            0         0          0           0          0         0            0            0            0            0            0             0            0             0            0
   玉名市                0            0         1          0           1          0         0            0            0            0            0            0             0            0             0            0
   玉東町                0            0         0          0           0          0         0            0            0            0            0            0             0            0             0            0
   南関町                0            0         0          0           0          0         0            0            0            0            0            0             0            0             0            0
   長洲町                0            0         0          0           0          0         0            0            0            0            0            0             0            0             0            0
   和水町                0            0         0          0           0          0         0            0            0            0            0            0             0            0             0            0
   山鹿市                0            0         0          0           0          0         0            0            0            0            0            0             0            0             0            0
   菊池市                1            0         0          0           0          0         0            0            0            0            0            0             0            0             0            0
   合志市                0            0         1          0           0          0         0            0            0            0            0            0             0            0             0            0
    大津町               0            0         2          1           0          0         0            0            0            0            0            0             0            0             0            0
    菊陽町               0            0         2          0           0          0         0            0            0            0            0            0             0            0             0            0
    阿蘇市               0            0         0          0           0          0         0            0            0            0            0            0             0            0             0            0
   南小国町               0            0         0          0           0          0         0            0            0            0            0            0             0            0             0            0
    小国町               0            0         0          0           0          0         0            0            0            0            0            0             0            0             0            0
    産山村               0            0         0          0           0          0         0            0            0            0            0            0             0            0             0            0
    高森町               0            0         0          0           0          0         0            0            0            0            0            0             0            0             0            0
    西原村               0            0         0          0           0          0         0            0            0            0            0            0             0            0             0            1
   南阿蘇村               0            0         0          0           0          0         0            0            0            0            0            0             0            0             0            0
    御船町               1           14         3          6           4          0         0            0            0            0            0            0            27           27             0            3
    嘉島町               2           27         8          0           3          0         7            0            0            0            0            0           117          117             0            0
    益城町               1           28         0          0           1          0         0            0            0            0            0            0             0            0             0            2
   甲佐町                5           17         0          0           1          0         1            0            0            0            0            0             0            0           210            4
   山都町                0            0         0          0           1          0         0            0            0            0            0            3            20           23             0            0
   八代市               42        2,770         0          0           0          0        20            0          320            0            0            0         2,180        2,500        24,820           29
   氷川町                4          328         0          0           0          0         5           14          163            0          195          903             0        1,261         3,100            2
   水俣市                0            0         0          0           0          0         0            0            0            0            0            3             1            4             0            0
   芦北町                4            5         3          0           0          0         0            0            0            0            0            0           401          401             0            2
   津奈木町               0            0         0          0           0          0         0            0            0            0            0            1             1            2             0            0
    人吉市               0            0         1          0           0          0         0            1            0            0            0            3             0            3             0            0
     錦町               0            0         0          0           0          0         0            0            0            0            0            0             0            0             0            0
   多良木町               0            0         0          0           0          0         0            0            0            0            0            0             0            0             0            0
    湯前町               0            0         0          0           0          0         0            0            0            0            0            0             0            0             0            0
    水上村               0            0         0          0           0          0         0            0            0            0            0            0             0            0             0            0
   相良村                0            0         0          0           0          0         0            0            0            0            0            0             0            0             0            0
   五木村                0            0         0          0           0          0         0            0            0            0            0            0             0            0             0            0
   山江村                0            0         0          0           0          0         0            0            0            0            0            0             0            0             0            0
   球磨村                0            0         0          0           0          0         0            0            0            0            0            0             0            0             0            0
   あさぎり町              0            0         0          0           0          0         0            0            0            0            0            0             0            0             0            0
   上天草市               4            6         0          0           0          0         0            0            0            0            0           78             0           78             0            1
    天草市               0            0         0          0           0          0         0            0            0            0            0            0             0            0             0            0
    苓北町               0            0         0          0           0          0         0            0            0            0            0            0             0            0             0            0
災害と関連する可能性が
               ―           ―           ―          ―            ―           ―            1      ―             ―           ―          ―             ―             ―           ―             ―             ―
   ある死亡（※）
災害との関連調査中      ―           ―                 0          0           0          0         1          0        ―           ―          ―             ―             ―           ―             ―             ―
    合計              133        7,155        40         57          20          0        38         26            699         20          1,025        6,187         6,631       14,562        43,710           61

   該当市町村数         13      12      10                    3           8          0        5            3           5       1       3       10                           10           14             4            11
（※）災害による負傷の悪化又は身体的負担による疾病により死亡した可能性のある死亡                                                                  ※住家被害数は推計値を含むものであり、今後修正が入る可能性があります。

