令和８年熊本地震による人的被害等の状況（８月１５日１４：００時点）                           ※着色箇所は前回（第22回災害対策本部会議資料）から変更があった箇所を示す
                   ①避難状況                                           ②人的被害                                                                 ③住家被害                                    ④断水        ⑤給水所
              避難所        避難者           軽症        中等症          重症        心肺停止       死亡        分類未確定         全壊           大規模半壊       半壊          一部破損        分類未確定       計         （戸）        （箇所数）
    熊本市             14           253        11         57           3          0         0           3             0            1          7       3,421       6,713     10,142          0            0
    宇土市              1            87         0          0           0          0         0          11             1            0          0       1,536       3,581      5,118          0            1
    宇城市             10           682         4         24           1          0         3           0           200            0        800       3,600           0      4,600      4,100            6
    美里町              3            24         9          0           8          0         0           0            23            7         16         773          14        833          0            0
    荒尾市              0             0         0          0           0          0         0           0             0            0          0           0           0          0          0            0
    玉名市              0             0         1          0           1          0         0           0             0            0          0           0           0          0          0            0
    玉東町              0             0         0          0           0          0         0           0             0            0          0           0           0          0          0            0
    南関町              0             0         0          0           0          0         0           0             0            0          0           0           0          0          0            0
    長洲町              0             0         0          0           0          0         0           0             0            0          0           0           0          0          0            0
    和水町              0             0         0          0           0          0         0           0             0            0          0           0           0          0          0            0
    山鹿市              0             0         0          0           0          0         0           0             0            0          0           0           0          0          0            0
    菊池市              0             0         0          0           0          0         0           0             0            0          0           0           0          0          0            0
    合志市              0             0         1          0           0          0         0           0             0            0          0           0           0          0          0            0
    大津町              0             0         2          1           0          0         0           0             0            0          0           0           0          0          0            0
    菊陽町              0             0         2          0           0          0         0           0             0            0          0           0           0          0          0            0
    阿蘇市              0             0         0          0           0          0         0           0             0            0          0           0           0          0          0            0
   南小国町              0             0         0          0           0          0         0           0             0            0          0           0           0          0          0            0
    小国町              0             0         0          0           0          0         0           0             0            0          0           0           0          0          0            0
    産山村              0             0         0          0           0          0         0           0             0            0          0           0           0          0          0            0
    高森町              0             0         0          0           0          0         0           0             0            0          0           0           0          0          0            0
    西原村              0             0         0          0           0          0         0           0             0            0          0           0           0          0          0            1
   南阿蘇村              0             0         0          0           0          0         0           0             0            0          0           0           0          0          0            0
    御船町              1            21        11          6           4          0         0           0             0            0          0           0       1,523      1,523          0            0
    嘉島町              2            11        12          0           4          0         7           0             0            0          0           0         316        316          0            0
    益城町              1            18         0          7           2          0         0           0            16            0        100         329       2,373      2,818          0            0
    甲佐町              4             2         0          0           1          0         1           0             0            0          0           0         947        947          0            0
    山都町              0             0         0          0           1          0         0           0             0            0          0          17          36         53          0            0
    八代市             38         1,808         0          0           0          0        20         147           874            0          0           0       1,626      2,500     20,860           29
    氷川町              4           295         0          0           0          0         5          14           163            0        195         903           0      1,261      1,490            3
    水俣市              0             0         0          0           1          0         0           0             0            0          7          34           0         41          0            0
    芦北町              2             4         3          0           0          0         0           0             6            1         38         357         236        638          0            2
   津奈木町              0             0         0          0           0          0         0           0             0            0          0           1           0          1          0            0
    人吉市              0             0         1          0           0          0         0           1             0            0          0          20           0         20          0            0
     錦町              0             0         0          0           0          0         0           0             0            0          0           0           0          0          0            0
   多良木町              0             0         0          0           0          0         0           0             0            0          0           2           0          2          0            0
    湯前町              0             0         0          0           0          0         0           0             0            0          0           0           0          0          0            0
    水上村              0             0         0          0           0          0         0           0             0            0          0           0           0          0          0            0
    相良村              0             0         0          0           0          0         0           0             0            0          0           0           0          0          0            0
    五木村              0             0         0          0           0          0         0           0             0            0          0           0           0          0          0            0
    山江村              0             0         0          0           0          0         0           0             0            0          0           0           0          0          0            0
    球磨村              0             0         0          0           0          0         0           0             0            0          0           2           0          2          0            0
   あさぎり町             0             0         0          0           0          0         0           0             0            0          0           1           0          1          0            0
   上天草市              0             0         0          0           0          0         0           0             0            0          0          78           0         78          0            0
    天草市              0             0         0          0           0          0         0           0             0            0          0           0           0          0          0            0
    苓北町              0             0         0          0           0          0         0           0             0            0          0           0           0          0          0            0
災害と関連する可能性が
   ある死亡（※）
               ―           ―           ―          ―            ―           ―             1     ―            ―             ―         ―             ―           ―         ―          ―          ―
災害との関連調査中      ―           ―                 0          0           0          0         2           0      ―             ―         ―             ―           ―         ―          ―          ―
    合計              80         3,205        57         95          26          0        39         176          1,283           9       1,163      11,074      17,365    30,894     26,450           42

   該当市町村数        11      11       11                    5          10          0         5           5         7       3        7      15                          10        19          3            6
（※）災害による負傷の悪化又は身体的負担による疾病により死亡した可能性のある死亡                                                                 ※住家被害数は推計値を含むものであり、今後修正が入る可能性があります。

