令和８年熊本地震による人的被害等の状況（８月１７日１４：００時点）                           ※着色箇所は前回（第23回災害対策本部会議資料）から変更があった箇所を示す
                   ①避難状況                                           ②人的被害                                                                 ③住家被害                                             ④断水          ⑤給水所
              避難所        避難者           軽症        中等症          重症        心肺停止       死亡        分類未確定         全壊           大規模半壊       半壊           一部破損          分類未確定          計             （戸）         （箇所数）
   熊本市               7          221         11         57           3          0        0            3             5            2          26          3,998          6,550       10,581           0             0
   宇土市               1           85          0          0           0          0        0          11              1            0           0          1,575          3,824        5,400           0             1
   宇城市               9          693          4         25           1          0        3            0           200            0         800          3,600             0         4,600        3,570            6
   美里町               3           25         11          0           8          0        0            0            23            7          16           808             14          868            0             0
   荒尾市               0            0          0          0           0          0        0            0             0            0           0             0              0            0            0             0
   玉名市               0            0          1          0           1          0        0            0             0            0           0             0              0            0            0             0
   玉東町               0            0          0          0           0          0        0            0             0            0           0             0              0            0            0             0
   南関町               0            0          0          0           0          0        0            0             0            0           0             0              0            0            0             0
   長洲町               0            0          0          0           0          0        0            0             0            0           0             0              0            0            0             0
   和水町               0            0          0          0           0          0        0            0             0            0           0             0              0            0            0             0
   山鹿市               0            0          0          0           0          0        0            0             0            0           0             0              0            0            0             0
   菊池市               0            0          0          0           0          0        0            0             0            0           0             0              0            0            0             0
   合志市               0            0          1          0           0          0        0            0             0            0           0             0              0            0            0             0
    大津町              0            0          2          1           0          0        0            0             0            0           0             0               0            0           0             0
    菊陽町              0            0          2          0           0          0        0            0             0            0           0             0               0            0           0             0
    阿蘇市              0            0          0          0           0          0        0            0             0            0           0             0               0            0           0             0
   南小国町              0            0          0          0           0          0        0            0             0            0           0             0               0            0           0             0
    小国町              0            0          0          0           0          0        0            0             0            0           0             0               0            0           0             0
    産山村              0            0          0          0           0          0        0            0             0            0           0             0               0            0           0             0
    高森町              0            0          0          0           0          0        0            0             0            0           0             0               0            0           0             0
    西原村              0            0          0          0           0          0        0            0             0            0           0             0               0            0           0             0
   南阿蘇村              0            0          0          0           0          0        0            0             0            0           0             0               0            0           0             0
    御船町              1           17         11          6           4          0        0            0             0            0           0             0           1,725        1,725           0             0
    嘉島町              2            6         12          0           4          0        7            0             0            0           0             0             316          316           0             0
    益城町              1           18          0          7           2          0        0            0            16            0         100           329           2,373        2,818           0             0
   甲佐町               3             4         0          0           1          0         1           0             0           0            0             0            947           947            0            0
   山都町               0             0         0          0           1          0         0           0             0           0            0            17             36            53            0            0
   八代市              38         1,696         0          0           0          0        20         147           874           0            0           696            930         2,500        2,470           29
   氷川町               4           286         0          0           0          0         5          14           323          61          259           699              0         1,342        1,340            5
   水俣市               0             0         0          0           1          0         0           0             0           0            7            34              0            41            0            0
   芦北町               1             2         3          0           0          0         0           0             7           2           60           435            152           656            0            2
   津奈木町              0            0          0          0           0          0        0            0             0            0           0             1              0            1            0             0
    人吉市              0            0          1          0           0          0        0            1             0            0           0            20              0           20            0             0
     錦町              0            0          0          0           0          0        0            0             0            0           0             0              0            0            0             0
   多良木町              0            0          0          0           0          0        0            0             0            0           0             2              0            2            0             0
    湯前町              0            0          0          0           0          0        0            0             0            0           0             0              0            0            0             0
    水上村              0            0          0          0           0          0        0            0             0            0           0             0              0            0            0             0
   相良村               0            0          0          0           0          0        0            0             0            0           0             0              0            0            0             0
   五木村               0            0          0          0           0          0        0            0             0            0           0             0              0            0            0             0
   山江村               0            0          0          0           0          0        0            0             0            0           0             0              0            0            0             0
   球磨村               0            0          0          0           0          0        0            0             0            0           0             2              0            2            0             0
   あさぎり町             0            0          0          0           0          0        0            0             0            0           0             1              0            1            0             0
   上天草市              0            0          0          0           0          0        0            0             0            0           0            78              0           78            0             0
    天草市              0            0          0          0           0          0        0            0             0            0           0             0              0            0            0             0
    苓北町              0            0          0          0           0          0        0            0             0            0           0             0              0            0            0             0
災害と関連する可能性が
               ―           ―           ―          ―            ―           ―            1      ―            ―             ―         ―             ―              ―            ―             ―            ―
   ある死亡（※）
災害との関連調査中      ―           ―                 0          0           0          0         2           0      ―             ―         ―             ―              ―            ―             ―            ―
    合計              70         3,053        59         96          26          0        39         176          1,449         72         1,268        12,295         16,867       31,951        7,380           43

   該当市町村数         11      11      11                    5          10          0        5            5          8       4       7       16                              10           19            3             5
（※）災害による負傷の悪化又は身体的負担による疾病により死亡した可能性のある死亡                                                                 ※住家被害数は推計値を含むものであり、今後修正が入る可能性があります。

