令和８年熊本地震による人的被害等の状況（８月１９日１４：００時点）                           ※着色箇所は前回（第24回災害対策本部会議資料）から変更があった箇所を示す
                   ①避難状況                                           ②人的被害                                                                 ③住家被害                                             ④断水          ⑤給水所
              避難所        避難者           軽症        中等症          重症        心肺停止       死亡        分類未確定         全壊           大規模半壊       半壊           一部破損          分類未確定          計             （戸）         （箇所数）
   熊本市               7          208         11         57           3          0        0            3            10            4          52          4,715          6,359       11,140           0             0
   宇土市               1           84          6          0           0          0        0            5             1            0           0          1,739          4,101        5,841           0             1
   宇城市               9          680          4         25           1          0        3            0           200            0         800          3,600             0         4,600        2,910            6
   美里町               3           24         11          0           9          0        0            0            23            7          16           808             14          868            0             0
   荒尾市               0            0          0          0           0          0        0            0             0            0           0             0              0            0            0             0
   玉名市               0            0          1          0           1          0        0            0             0            0           0             0              0            0            0             0
   玉東町               0            0          0          0           0          0        0            0             0            0           0             0              0            0            0             0
   南関町               0            0          0          0           0          0        0            0             0            0           0             0              0            0            0             0
   長洲町               0            0          0          0           0          0        0            0             0            0           0             0              0            0            0             0
   和水町               0            0          0          0           0          0        0            0             0            0           0             0              0            0            0             0
   山鹿市               0            0          0          0           0          0        0            0             0            0           0             0              0            0            0             0
   菊池市               0            0          0          0           0          0        0            0             0            0           0             0              0            0            0             0
   合志市               0            0          1          0           0          0        0            0             0            0           0             0              0            0            0             0
    大津町              0            0          2          1           0          0        0            0             0            0           0             0               0            0           0             0
    菊陽町              0            0          2          0           0          0        0            0             0            0           0             0               0            0           0             0
    阿蘇市              0            0          0          0           0          0        0            0             0            0           0             0               0            0           0             0
   南小国町              0            0          0          0           0          0        0            0             0            0           0             0               0            0           0             0
    小国町              0            0          0          0           0          0        0            0             0            0           0             0               0            0           0             0
    産山村              0            0          0          0           0          0        0            0             0            0           0             0               0            0           0             0
    高森町              0            0          0          0           0          0        0            0             0            0           0             0               0            0           0             0
    西原村              0            0          0          0           0          0        0            0             0            0           0             0               0            0           0             0
   南阿蘇村              0            0          0          0           0          0        0            0             0            0           0             0               0            0           0             0
    御船町              1           21         11          6           4          0        0            0             0            0           0             0           1,725        1,725           0             0
    嘉島町              2            6         12          0           4          0        7            0             0            0           0             0             316          316           0             0
    益城町              1           22          0          7           4          0        0            0            24            0         146           391           2,382        2,943           0             0
   甲佐町               2             1         0          0           1          0         1           0             0            0           0              0           947           947            0            0
   山都町               0             0         0          0           1          0         0           0             0            0           0             33            35            68            0            0
   八代市              38         1,621         0          0           0          0        20         147           874            0           0            745           881         2,500        1,020           27
   氷川町               4           296         0          0           0          0         5          14           387          107         377          1,093             0         1,964          960            5
   水俣市               0             0         0          0           1          0         0           0             0            0          11             52             0            63            0            0
   芦北町               1             3         3          0           0          0         0           0             8            2          62            448           165           685            0            2
   津奈木町              0            0          0          0           0          0        0            0             0            0           0             1              0            1            0             0
    人吉市              0            0          1          0           0          0        0            1             0            0           0            23              1           24            0             0
     錦町              0            0          0          0           0          0        0            0             0            0           0             0              0            0            0             0
   多良木町              0            0          0          0           0          0        0            0             0            0           0             3              0            3            0             0
    湯前町              0            0          0          0           0          0        0            0             0            0           0             0              0            0            0             0
    水上村              0            0          0          0           0          0        0            0             0            0           0             0              0            0            0             0
   相良村               0            0          0          0           0          0        0            0             0            0           0             0              0            0            0             0
   五木村               0            0          0          0           0          0        0            0             0            0           0             0              0            0            0             0
   山江村               0            0          0          0           0          0        0            0             0            0           0             0              0            0            0             0
   球磨村               0            0          0          0           0          0        0            0             0            0           0             2              0            2            0             0
   あさぎり町             0            0          0          0           0          0        0            0             0            0           0             1              0            1            0             0
   上天草市              0            0          0          0           0          0        0            0             0            0           0            78              0           78            0             0
    天草市              0            0          0          0           0          0        0            0             0            0           0             0              0            0            0             0
    苓北町              0            0          0          0           0          0        0            0             0            0           0             0              0            0            0             0
災害と関連する可能性が
               ―           ―           ―          ―            ―           ―            1      ―            ―             ―         ―             ―              ―            ―             ―            ―
   ある死亡（※）
災害との関連調査中      ―           ―                 0          0           0          0         2           0      ―             ―         ―             ―              ―            ―             ―            ―
    合計              69         2,966        65         96          29          0        39         170          1,527         120        1,464        13,732         16,926       33,769        4,890           41

   該当市町村数         11      11      12                    5          10          0        5            5          8       4       7       16                              11           19            3             5
（※）災害による負傷の悪化又は身体的負担による疾病により死亡した可能性のある死亡                                                                 ※住家被害数は推計値を含むものであり、今後修正が入る可能性があります。

