令和８年熊本地震による人的被害等の状況（８月２１日１４：００時点）                           ※着色箇所は前回（第25回災害対策本部会議資料）から変更があった箇所を示す
                   ①避難状況                                           ②人的被害                                                                 ③住家被害                                             ④断水          ⑤給水所
              避難所        避難者           軽症        中等症          重症        心肺停止       死亡        分類未確定         全壊           大規模半壊       半壊           一部破損          分類未確定          計             （戸）         （箇所数）
   熊本市               7          201         11         57           3          0        0            3            14            6         101          5,749          5,808       11,678           0             0
   宇土市               1           82          7          2           0          0        0            3             9           22          69          2,058          4,035        6,193           0             1
   宇城市               9          658          4         25           1          0        3            0           200            0         800          3,600             0         4,600        2,580            6
   美里町               3           23         11          0           9          0        0            0            44           17          62           788             14          925            0             0
   荒尾市               0            0          0          0           0          0        0            0             0            0           0             0              0            0            0             0
   玉名市               0            0          1          0           1          0        0            0             0            0           1            26             12           39            0             0
   玉東町               0            0          0          0           0          0        0            0             0            0           0             5              7           12            0             0
   南関町               0            0          0          0           0          0        0            0             0            0           0             0              0            0            0             0
   長洲町               0            0          0          0           0          0        0            0             0            0           0             0              0            0            0             0
   和水町               0            0          0          0           0          0        0            0             0            0           0             0              0            0            0             0
   山鹿市               0            0          0          0           0          0        0            0             0            0           0            10              2           12            0             0
   菊池市               0            0          0          0           0          0        0            0             0            0           0             0              0            0            0             0
   合志市               0            0          1          0           0          0        0            0             0            0           0           152              0          152            0             0
    大津町              0            0          2          1           0          0        0            0             0            0           0              1              0            1           0             0
    菊陽町              0            0          2          0           0          0        0            0             0            0           4            429              0          433           0             0
    阿蘇市              0            0          0          0           0          0        0            0             0            0           0              0              0            0           0             0
   南小国町              0            0          0          0           0          0        0            0             0            0           0              0              0            0           0             0
    小国町              0            0          0          0           0          0        0            0             0            0           0              0              0            0           0             0
    産山村              0            0          0          0           0          0        0            0             0            0           0              0              0            0           0             0
    高森町              0            0          0          0           0          0        0            0             0            0           0              3              0            3           0             0
    西原村              0            0          0          0           0          0        0            0             0            0           0              0              0            0           0             0
   南阿蘇村              0            0          0          0           0          0        0            0             0            0           0             16              0           16           0             0
    御船町              1           21         11          6           4          0        0            0             0            0           0              0          2,025        2,025           0             0
    嘉島町              2            6         12          0           4          0        7            0             0            0           0              0            316          316           0             0
    益城町              1           20          0          7           4          0        0            0            36            0         296          1,041          1,849        3,222           0             0
   甲佐町               2             9         0          0           1          0         1           0             9            3         126            182           814         1,134            0            0
   山都町               0             0         0          0           1          0         0           0             0            0           0             41            42            83            0            0
   八代市              38         1,570         0          0           0          0        20         147           874            0           2          1,803             0         2,679        1,020           27
   氷川町               4           293         0          0           0          0         5          14           418          117         407          1,255             0         2,197          450            5
   水俣市               0             0         0          0           1          0         0           0             0            0          13             77             0            90            0            0
   芦北町               1             1         3          0           0          0         0           0             9            2          70            493           133           707            0            2
   津奈木町              0            0          0          0           0          0        0            0             0            0           0             1              0            1            0             0
    人吉市              0            0          1          0           0          0        0            1             0            0           0            27              1           28            0             0
     錦町              0            0          0          0           0          0        0            0             0            0           0             0              0            0            0             0
   多良木町              0            0          0          0           0          0        0            0             0            0           0             3              0            3            0             0
    湯前町              0            0          0          0           0          0        0            0             0            0           0             2              0            2            0             0
    水上村              0            0          0          0           0          0        0            0             0            0           0             0              0            0            0             0
   相良村               0            0          0          0           0          0        0            0             0            0           0             0              0            0            0             0
   五木村               0            0          0          0           0          0        0            0             0            0           0             0              0            0            0             0
   山江村               0            0          0          0           0          0        0            0             0            0           0             0              0            0            0             0
   球磨村               0            0          0          0           0          0        0            0             0            0           0             2              0            2            0             0
   あさぎり町             0            0          0          0           0          0        0            0             0            0           0             1              0            1            0             0
   上天草市              0            0          0          0           0          0        0            0             0            0           0            78              0           78            0             0
    天草市              0            0          0          0           0          0        0            0             0            0           0           102             50          152            0             0
    苓北町              0            0          0          0           0          0        0            0             0            0           0             0              0            0            0             0
災害と関連する可能性が
               ―           ―           ―          ―            ―           ―            1      ―            ―             ―         ―             ―              ―            ―             ―            ―
   ある死亡（※）
災害との関連調査中      ―           ―                 0          0           0          0         1           0      ―             ―         ―             ―              ―            ―             ―            ―
    合計              69         2,884        66         98          29          0        38         168          1,613         167        1,951        17,945         15,108       36,784        4,050           41

   該当市町村数         11      11      12                    6          10          0        5            5          9       6       12      27                              14           29            3             5
（※）災害による負傷の悪化又は身体的負担による疾病により死亡した可能性のある死亡                                                                 ※住家被害数は推計値を含むものであり、今後修正が入る可能性があります。

