令和８年熊本地震による人的被害等の状況（８月２５日１４：００時点）                           ※着色箇所は前回（第26回災害対策本部会議資料(8月21日14時時点)）から変更があった箇所を示す
                   ①避難状況                                            ②人的被害                                                                 ③住家被害                                             ④断水          ⑤給水所
              避難所        避難者           軽症        中等症           重症        心肺停止       死亡        分類未確定         全壊           大規模半壊       半壊           一部破損          分類未確定          計             （戸）         （箇所数）
   熊本市               6          167         11         57            3          0        0            3            31           20         308          9,307          2,562       12,228           0             0
   宇土市               1           83          7          0            2          0        0            2            13           30         106          2,435          4,012        6,596           0             1
   宇城市               9          652          4         25            1          0        3            0           200            0         800          3,600             0         4,600        1,700            6
   美里町               1           10         11          0            9          0        0            0            52           22          97           324            450          945            0             0
   荒尾市               0            0          0          0            0          0        0            0             0            0           0             0              0            0            0             0
   玉名市               0            0          1          0            1          0        0            0             0            0           1            26             12           39            0             0
   玉東町               0            0          0          0            0          0        0            0             0            0           0             5              7           12            0             0
   南関町               0            0          0          0            0          0        0            0             0            0           0             0              0            0            0             0
   長洲町               0            0          0          0            0          0        0            0             0            0           0             0              0            0            0             0
   和水町               0            0          0          0            0          0        0            0             0            0           0             0              0            0            0             0
   山鹿市               0            0          0          0            0          0        0            0             0            0           0            10              2           12            0             0
   菊池市               0            0          0          0            0          0        0            0             0            0           0            99              7          106            0             0
   合志市               0            0          1          0            0          0        0            0             0            0           0           152              0          152            0             0
    大津町              0            0          2          1            0          0        0            0             0            0           0              1              0            1           0             0
    菊陽町              0            0          2          0            0          0        0            0             0            0           4            429              0          433           0             0
    阿蘇市              0            0          0          0            0          0        0            0             0            0           0              0              0            0           0             0
   南小国町              0            0          0          0            0          0        0            0             0            0           0              0              0            0           0             0
    小国町              0            0          0          0            0          0        0            0             0            0           0              0              0            0           0             0
    産山村              0            0          0          0            0          0        0            0             0            0           0              0              0            0           0             0
    高森町              0            0          0          0            0          0        0            0             0            0           0              3              0            3           0             0
    西原村              0            0          0          0            0          0        0            0             0            0           0              0              0            0           0             0
   南阿蘇村              0            0          0          0            0          0        0            0             0            0           0             16              0           16           0             0
    御船町              1           11         11          6            4          0        0            0             0            0           0              0          2,025        2,025           0             0
    嘉島町              2            2         12          0            4          0        7            0             0            0           0              0            316          316           0             0
    益城町              1           14          2          7            6          0        0            0            38            0         433          1,742          1,119        3,332           0             0
   甲佐町               1             5         0          0            1          0         1           0            10            5         234            551           379         1,179            0            0
   山都町               0             0         0          0            1          0         0           0             0            0           2             58            32            92            0            0
   八代市              38         1,430         0          0            0          0        20         147           874            0          10          2,584             0         3,468          370           24
   氷川町               4           259         0          0            0          0         5          14           464          131         483          1,511             0         2,589          250            5
   水俣市               0             0         0          0            1          0         0           0             0            0          17             89             0           106            0            0
   芦北町               1             2         3          0            0          0         0           0            10            2          93            561            60           726            0            2
   津奈木町              0            0          0          0            0          0        0            0             0            0           0             1              0            1            0             0
    人吉市              0            0          1          0            0          0        0            1             0            0           0            30              2           32            0             0
     錦町              0            0          0          0            0          0        0            0             0            0           0             0              0            0            0             0
   多良木町              0            0          0          0            0          0        0            0             0            0           0             3              0            3            0             0
    湯前町              0            0          0          0            0          0        0            0             0            0           0             2              0            2            0             0
    水上村              0            0          0          0            0          0        0            0             0            0           0             0              0            0            0             0
   相良村               0            0          0          0            0          0        0            0             0            0           0             0              0            0            0             0
   五木村               0            0          0          0            0          0        0            0             0            0           0             0              0            0            0             0
   山江村               0            0          0          0            0          0        0            0             0            0           0             0              0            0            0             0
   球磨村               0            0          0          0            0          0        0            0             0            0           0             2              0            2            0             0
   あさぎり町             0            0          0          0            0          0        0            0             0            0           0             1              0            1            0             0
   上天草市              0            0          0          0            0          0        0            0             0            0           0            78              0           78            0             0
    天草市              0            0          0          0            0          0        0            0             0            0           0           102             50          152            0             0
    苓北町              0            0          0          0            0          0        0            0             0            0           0             0              0            0            0             0
災害と関連する可能性が
               ―           ―           ―          ―            ―            ―            2      ―            ―             ―         ―             ―              ―            ―             ―            ―
   ある死亡（※）
災害との関連調査中      ―           ―                 0          0            0          0         0           0      ―             ―         ―             ―              ―            ―             ―            ―
    合計              65         2,635        68         96           33          0        38         167          1,692         210        2,588        23,722         11,035       39,247        2,320           38

   該当市町村数         11      11      13                    5           11          0        5            5          9       6       13      28                              15           30            3             5
（※）災害による負傷の悪化又は身体的負担による疾病により死亡した可能性のある死亡                                                                  ※住家被害数は推計値を含むものであり、今後修正が入る可能性があります。

