令和８年熊本地震による人的被害等の状況（８月２８日１４：００時点）                           ※着色箇所は前回（第27回災害対策本部会議資料(8月25日14時時点)）から変更があった箇所を示す                                                                       ※断水のみ15時時点
                   ①避難状況                                            ②人的被害                                                                 ③住家被害                                       ④断水       ⑤給水所
              避難所        避難者           軽症        中等症           重症        心肺停止       死亡        分類未確定         全壊           大規模半壊       半壊          一部破損        分類未確定        計           （戸）       （箇所数）
    熊本市              4           135        11         57            3          0         0           3            35         21          345      10,469        1,960     12,830           0            0
    宇土市              1            85         7          0            2          0         0           2            20         35          139       2,743        4,003      6,940           0            1
    宇城市              9           632         4         25            1          0         3           0           200          0          800       3,600            0      4,600           0            1
    美里町              1            22        11          0            9          0         0           0            62         27          134         232          530        985           0            0
    荒尾市              0             0         0          0            0          0         0           0             0          0            0           0            0          0           0            0
    玉名市              0             0         1          0            1          0         0           0             0          0            3          31            6         40           0            0
    玉東町              0             0         0          0            0          0         0           0             0          0            1          10            4         15           0            0
    南関町              0             0         0          0            0          0         0           0             0          0            0           0            0          0           0            0
    長洲町              0             0         0          0            0          0         0           0             0          0            0           0            0          0           0            0
    和水町              0             0         0          0            0          0         0           0             0          0            0           0            0          0           0            0
    山鹿市              0             0         0          0            0          0         0           0             0          0            0          11            6         17           0            0
    菊池市              0             0         0          0            0          0         0           0             0          0            1         108           12        121           0            0
    合志市              0             0         1          0            0          0         0           0             0          0            0         247          102        349           0            0
    大津町              0             0         2          1            0          0         0           0             0          0            0          93           98        191           0            0
    菊陽町              0             0         2          0            0          0         0           0             0          0            4         429            0        433           0            0
    阿蘇市              0             0         0          0            0          0         0           0             0          0            0           0            0          0           0            0
   南小国町              0             0         0          0            0          0         0           0             0          0            0           0            0          0           0            0
    小国町              0             0         0          0            0          0         0           0             0          0            0           0            0          0           0            0
    産山村              0             0         0          0            0          0         0           0             0          0            0           0            0          0           0            0
    高森町              0             0         0          0            0          0         0           0             0          0            0           3            0          3           0            0
    西原村              0             0         0          0            0          0         0           0             0          0            0           0            0          0           0            0
   南阿蘇村              0             0         0          0            0          0         0           0             0          0            0          16            0         16           0            0
    御船町              1            11        11          6            4          0         0           0            13         10          157       1,137        1,573      2,890           0            0
    嘉島町              2             2        12          0            4          0         7           0             0          0            0           0          296        296           0            0
    益城町              1            13         2          7            6          0         0           0            40          0          469       1,911        1,064      3,484           0            0
    甲佐町              1             2         0          0            1          0         1           0            10          5          320         809           67      1,211           0            0
    山都町              0             0         0          0            1          0         0           0             0          0            2          66           38        106           0            0
    八代市             37         1,305         0          0            0          0        20         147           874          0           33       3,762       10,373     15,042           0           18
    氷川町              3           206         0          0            0          0         5          14           489        147          530       1,681            0      2,847           0            4
    水俣市              0             0         0          0            1          0         0           0             0          0           17         105            0        122           0            0
    芦北町              1             3         3          0            0          0         0           0            11          3          100         607           30        751           0            2
   津奈木町              0             0         0          0            0          0         0           0             0          0            0           1            0          1           0            0
    人吉市              0             0         1          0            0          0         0           1             0          0            0          30            2         32           0            0
     錦町              0             0         0          0            0          0         0           0             0          0            0           0            0          0           0            0
   多良木町              0             0         0          0            0          0         0           0             0          0            0           4            0          4           0            0
    湯前町              0             0         0          0            0          0         0           0             0          0            0           2            0          2           0            0
    水上村              0             0         0          0            0          0         0           0             0          0            0           0            0          0           0            0
    相良村              0             0         0          0            0          0         0           0             0          0            0           0            0          0           0            0
    五木村              0             0         0          0            0          0         0           0             0          0            0           0            0          0           0            0
    山江村              0             0         0          0            0          0         0           0             0          0            0           0            0          0           0            0
    球磨村              0             0         0          0            0          0         0           0             0          0            0           2            0          2           0            0
   あさぎり町             0             0         0          0            0          0         0           0             0          0            0           1            0          1           0            0
   上天草市              0             0         0          0            0          0         0           0             0          0            0         295            0        295           0            0
    天草市              0             0         0          0            0          0         0           0             0          0            0         138           38        176           0            0
    苓北町              0             0         0          0            0          0         0           0             0          0            0           0            0          0           0            0
災害と関連する可能性が
   ある死亡（※）
               ―           ―           ―          ―            ―            ―             2     ―            ―             ―         ―             ―            ―         ―            ―         ―
災害との関連調査中      ―           ―                 0          0            0          0         0           0      ―             ―         ―             ―            ―         ―            ―         ―
    合計              61         2,416        68         96           33          0        38         167          1,754         248       3,055      28,543       20,202    53,802           0           26

   該当市町村数        11      11       13                    5           11          0         5           5         10      7       16      29                           18        30           0            5
（※）災害による負傷の悪化又は身体的負担による疾病により死亡した可能性のある死亡                                                                  ※住家被害数は推計値を含むものであり、今後修正が入る可能性があります。

